Sample_Date,WRRF_Name,Gene Copies (N1/L),Per Capita Gene Copies,"Population Served, estimated",School-Aged Population,Season,Holiday
2022-01-02,Tallman Island,93324.0,52609058.82,449907,74748.0,Winter 2021,0
2022-01-02,Wards Island,115576.0,65544391.02,1201485,240219.0,Winter 2021,0
2022-01-04,26th Ward,67339.0,41225962.42,290608,72091.0,Winter 2021,0
2022-01-04,Bowery Bay,79268.0,30827509.62,924695,122994.0,Winter 2021,0
2022-01-04,Coney Island,56296.0,29357128.97,682342,117865.0,Winter 2021,0
2022-01-04,Hunts Point,74306.0,47255179.07,755948,151282.0,Winter 2021,0
2022-01-04,Jamaica Bay,118731.0,45020520.46,748737,131881.0,Winter 2021,0
2022-01-04,Newtown Creek,60640.0,35331019.59,1156473,188137.0,Winter 2021,0
2022-01-04,North River,47529.0,25132691.26,658596,72242.0,Winter 2021,0
2022-01-04,Oakwood Beach,56331.0,24312598.69,258731,44374.0,Winter 2021,0
2022-01-04,Owls Head,124846.0,47444905.25,906442,135396.0,Winter 2021,0
2022-01-04,Port Richmond,71482.0,29910180.59,226167,46435.0,Winter 2021,0
2022-01-04,Red Hook,47126.0,19110820.34,224029,33636.0,Winter 2021,0
2022-01-04,Rockaway,34650.0,23939527.07,120539,29986.0,Winter 2021,0
2022-01-04,Tallman Island,64671.0,36456615.99,449907,74748.0,Winter 2021,0
2022-01-04,Wards Island,75166.0,39311912.01,1201485,240219.0,Winter 2021,0
2022-01-10,26th Ward,10879.0,6943850.23,290608,72091.0,Winter 2021,0
2022-01-10,Bowery Bay,33303.0,11724700.69,924695,122994.0,Winter 2021,0
2022-01-10,Coney Island,50768.0,19433528.04,682342,117865.0,Winter 2021,0
2022-01-10,Hunts Point,18544.0,11514795.92,755948,151282.0,Winter 2021,0
2022-01-10,Jamaica Bay,70685.0,26444992.24,748737,131881.0,Winter 2021,0
2022-01-10,Newtown Creek,8322.0,4630709.06,1156473,188137.0,Winter 2021,0
2022-01-10,North River,32182.0,17017364.55,658596,72242.0,Winter 2021,0
2022-01-10,Oakwood Beach,28202.0,10934388.22,258731,44374.0,Winter 2021,0
2022-01-10,Owls Head,53904.0,19584504.61,906442,135396.0,Winter 2021,0
2022-01-10,Port Richmond,32289.0,12429815.16,226167,46435.0,Winter 2021,0
2022-01-10,Red Hook,33750.0,13686690.47,224029,33636.0,Winter 2021,0
2022-01-10,Rockaway,29875.0,16887552.13,120539,29986.0,Winter 2021,0
2022-01-10,Tallman Island,59821.0,27179145.57,449907,74748.0,Winter 2021,0
2022-01-10,Wards Island,52442.0,27262094.34,1201485,240219.0,Winter 2021,0
2022-01-12,26th Ward,13452.0,8410592.09,290608,72091.0,Winter 2021,0
2022-01-12,Bowery Bay,53065.0,18464650.2,924695,122994.0,Winter 2021,0
2022-01-12,Coney Island,44315.0,17209241.19,682342,117865.0,Winter 2021,0
2022-01-12,Hunts Point,29799.0,18204685.25,755948,151282.0,Winter 2021,0
2022-01-12,Jamaica Bay,50211.0,18785118.74,748737,131881.0,Winter 2021,0
2022-01-12,Newtown Creek,31095.0,17608060.48,1156473,188137.0,Winter 2021,0
2022-01-12,North River,23286.0,11911941.82,658596,72242.0,Winter 2021,0
2022-01-12,Oakwood Beach,19014.0,7372000.57,258731,44374.0,Winter 2021,0
2022-01-12,Owls Head,62525.0,22978005.41,906442,135396.0,Winter 2021,0
2022-01-12,Port Richmond,38565.0,17427511.25,226167,46435.0,Winter 2021,0
2022-01-12,Red Hook,16646.0,7594381.63,224029,33636.0,Winter 2021,0
2022-01-12,Rockaway,12593.0,7118300.62,120539,29986.0,Winter 2021,0
2022-01-12,Tallman Island,45647.0,18819141.65,449907,74748.0,Winter 2021,0
2022-01-12,Wards Island,30238.0,15337939.07,1201485,240219.0,Winter 2021,0
2022-01-17,26th Ward,4794.0,5869548.85,290608,72091.0,Winter 2021,1
2022-01-17,Bowery Bay,8061.0,4850620.79,924695,122994.0,Winter 2021,1
2022-01-17,Coney Island,16176.0,9781592.82,682342,117865.0,Winter 2021,1
2022-01-17,Hunts Point,2029.0,1768182.95,755948,151282.0,Winter 2021,1
2022-01-17,Jamaica Bay,13376.0,6694722.58,748737,131881.0,Winter 2021,1
2022-01-17,Newtown Creek,7094.0,5851735.22,1156473,188137.0,Winter 2021,1
2022-01-17,North River,2413.0,1955404.77,658596,72242.0,Winter 2021,1
2022-01-17,Oakwood Beach,12263.0,7212750.56,258731,44374.0,Winter 2021,1
2022-01-17,Owls Head,14557.0,7051735.38,906442,135396.0,Winter 2021,1
2022-01-17,Port Richmond,9924.0,7308704.34,226167,46435.0,Winter 2021,1
2022-01-17,Red Hook,5903.0,3490994.29,224029,33636.0,Winter 2021,1
2022-01-17,Rockaway,8489.0,6131396.64,120539,29986.0,Winter 2021,1
2022-01-17,Tallman Island,9122.0,6063042.37,449907,74748.0,Winter 2021,1
2022-01-17,Wards Island,11182.0,9124707.1,1201485,240219.0,Winter 2021,1
2022-01-19,26th Ward,10233.0,6664396.39,290608,72091.0,Winter 2021,0
2022-01-19,Bowery Bay,15176.0,5777680.25,924695,122994.0,Winter 2021,0
2022-01-19,Coney Island,20302.0,7884208.36,682342,117865.0,Winter 2021,0
2022-01-19,Hunts Point,4916.0,3298868.61,755948,151282.0,Winter 2021,0
2022-01-19,Jamaica Bay,17851.0,6768716.72,748737,131881.0,Winter 2021,0
2022-01-19,Newtown Creek,13378.0,8013225.58,1156473,188137.0,Winter 2021,0
2022-01-19,North River,14429.0,8459160.4,658596,72242.0,Winter 2021,0
2022-01-19,Oakwood Beach,13159.0,5737099.53,258731,44374.0,Winter 2021,0
2022-01-19,Owls Head,28261.0,11094017.72,906442,135396.0,Winter 2021,0
2022-01-19,Port Richmond,13415.0,6286848.8,226167,46435.0,Winter 2021,0
2022-01-19,Red Hook,10980.0,4638113.63,224029,33636.0,Winter 2021,0
2022-01-19,Rockaway,9166.0,5469230.68,120539,29986.0,Winter 2021,0
2022-01-19,Tallman Island,12819.0,7442348.63,449907,74748.0,Winter 2021,0
2022-01-19,Wards Island,17681.0,9692991.86,1201485,240219.0,Winter 2021,0
2022-01-24,26th Ward,5925.0,3781444.49,290608,72091.0,Winter 2021,0
2022-01-24,Bowery Bay,12514.0,4456903.56,924695,122994.0,Winter 2021,0
2022-01-24,Coney Island,12160.0,4992200.37,682342,117865.0,Winter 2021,0
2022-01-24,Hunts Point,7622.0,5305291.39,755948,151282.0,Winter 2021,0
2022-01-24,Jamaica Bay,8538.0,3237556.95,748737,131881.0,Winter 2021,0
2022-01-24,Newtown Creek,7795.0,4567121.35,1156473,188137.0,Winter 2021,0
2022-01-24,North River,6856.0,3901315.92,658596,72242.0,Winter 2021,0
2022-01-24,Oakwood Beach,10769.0,4364185.17,258731,44374.0,Winter 2021,0
2022-01-24,Owls Head,18322.0,6886259.72,906442,135396.0,Winter 2021,0
2022-01-24,Port Richmond,8193.0,3428288.17,226167,46435.0,Winter 2021,0
2022-01-24,Red Hook,10578.0,4468308.23,224029,33636.0,Winter 2021,0
2022-01-24,Rockaway,4598.0,2743581.74,120539,29986.0,Winter 2021,0
2022-01-24,Tallman Island,12956.0,5886392.12,449907,74748.0,Winter 2021,0
2022-01-24,Wards Island,4277.0,1306997.96,1201485,240219.0,Winter 2021,0
2022-01-26,26th Ward,3485.0,2180000.0,290608,72091.0,Winter 2021,0
2022-01-26,Bowery Bay,6685.0,2330000.0,924695,122994.0,Winter 2021,0
2022-01-26,Coney Island,8395.0,3350000.0,682342,117865.0,Winter 2021,0
2022-01-26,Hunts Point,5475.0,3760000.0,755948,151282.0,Winter 2021,0
2022-01-26,Jamaica Bay,7169.0,2720000.0,748737,131881.0,Winter 2021,0
2022-01-26,Newtown Creek,3506.0,2050000.0,1156473,188137.0,Winter 2021,0
2022-01-26,North River,4448.0,2430000.0,658596,72242.0,Winter 2021,0
2022-01-26,Oakwood Beach,5267.0,2080000.0,258731,44374.0,Winter 2021,0
