Test Date,WRRF Name,Gene Copies (N1/L),Per Capita Gene Copies,"Population Served, estimated",School Status,School-Aged Population,Season,Holiday
2020-10-07,Coney Island,7238.0,3252567.31,682342,All Grades,117865.0,Fall 2020,0
2020-10-07,Hunts Point,1051.0,605349.79,755948,All Grades,151282.0,Fall 2020,0
2020-10-07,Jamaica Bay,1317.0,480739.77,748737,All Grades,131881.0,Fall 2020,0
2020-10-07,Newtown Creek,1448.0,796369.86,1156473,All Grades,188137.0,Fall 2020,0
2020-10-07,North River,823.0,411788.37,658596,All Grades,72242.0,Fall 2020,0
2020-10-07,Oakwood Beach,3108.0,1045725.63,258731,All Grades,44374.0,Fall 2020,0
2020-10-07,Owls Head,5824.0,2140225.1,906442,All Grades,135396.0,Fall 2020,0
2020-10-07,Port Richmond,1403.0,523687.55,226167,All Grades,46435.0,Fall 2020,0
2020-10-07,Red Hook,878.0,326459.68,224029,All Grades,33636.0,Fall 2020,0
2020-10-07,Rockaway,1055.0,695748.53,120539,All Grades,29986.0,Fall 2020,0
2020-10-07,Tallman Island,586.0,246662.72,449907,All Grades,74748.0,Fall 2020,0
2020-10-07,Wards Island,1152.0,613593.5,1201485,All Grades,240219.0,Fall 2020,0
2020-10-12,26th Ward,569.0,370574.71,290608,All Grades,72091.0,Fall 2020,0
2020-10-12,Bowery Bay,3340.0,1175791.45,924695,All Grades,122994.0,Fall 2020,0
2020-10-12,Coney Island,1661.0,718641.23,682342,All Grades,117865.0,Fall 2020,0
2020-10-12,Hunts Point,846.0,495520.01,755948,All Grades,151282.0,Fall 2020,0
2020-10-12,Jamaica Bay,1570.0,582974.41,748737,All Grades,131881.0,Fall 2020,0
2020-10-12,Newtown Creek,682.0,385987.42,1156473,All Grades,188137.0,Fall 2020,0
2020-10-12,North River,333.0,170555.88,658596,All Grades,72242.0,Fall 2020,0
2020-10-12,Oakwood Beach,2106.0,730213.25,258731,All Grades,44374.0,Fall 2020,0
2020-10-12,Owls Head,6038.0,2546635.48,906442,All Grades,135396.0,Fall 2020,0
2020-10-12,Port Richmond,1489.0,573163.13,226167,All Grades,46435.0,Fall 2020,0
2020-10-12,Red Hook,,,224029,All Grades,33636.0,Fall 2020,0
2020-10-12,Rockaway,1078.0,609497.72,120539,All Grades,29986.0,Fall 2020,0
2020-10-12,Tallman Island,626.0,279048.57,449907,All Grades,74748.0,Fall 2020,0
2020-10-12,Wards Island,600.0,321472.73,1201485,All Grades,240219.0,Fall 2020,0
2020-10-14,26th Ward,1351.0,862479.09,290608,All Grades,72091.0,Fall 2020,0
2020-10-14,Bowery Bay,2338.0,1244365.68,924695,All Grades,122994.0,Fall 2020,0
2020-10-14,Coney Island,13884.0,7009292.66,682342,All Grades,117865.0,Fall 2020,0
