5-9,10-14, 15-19,WRRF Name,Total Population,Total WRRF Population,Zip Codes Served,Zip_Codes_Served
4181.0,3446.0,2391.0,Bowery Bay,10018.0,122994.0,"10044, 11101, 11102, 11103, 11104, 11105, 11106, 11368, 11369, 11370, 11371, 11372, 11373, 11374, 11375, 11377, 11378, 11415","['10044', ' 11101', ' 11102', ' 11103', ' 11104', ' 11105', ' 11106', ' 11368', ' 11369', ' 11370', ' 11371', ' 11372', ' 11373', ' 11374', ' 11375', ' 11377', ' 11378', ' 11415']"
3780.0,4188.0,3365.0,Bowery Bay,11333.0,122994.0,"10044, 11101, 11102, 11103, 11104, 11105, 11106, 11368, 11369, 11370, 11371, 11372, 11373, 11374, 11375, 11377, 11378, 11415","['10044', ' 11101', ' 11102', ' 11103', ' 11104', ' 11105', ' 11106', ' 11368', ' 11369', ' 11370', ' 11371', ' 11372', ' 11373', ' 11374', ' 11375', ' 11377', ' 11378', ' 11415']"
2004.0,2819.0,2820.0,Bowery Bay,7643.0,122994.0,"10044, 11101, 11102, 11103, 11104, 11105, 11106, 11368, 11369, 11370, 11371, 11372, 11373, 11374, 11375, 11377, 11378, 11415","['10044', ' 11101', ' 11102', ' 11103', ' 11104', ' 11105', ' 11106', ' 11368', ' 11369', ' 11370', ' 11371', ' 11372', ' 11373', ' 11374', ' 11375', ' 11377', ' 11378', ' 11415']"
2123.0,2777.0,1677.0,Newtown Creek,6577.0,188137.0,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10012, 10013, 10016, 10017, 10022, 10038, 10280, 10282, 11205, 11206, 11211, 11213, 11216, 11221, 11222, 11225, 11233, 11237, 11238, 11379, 11385","['10002', ' 10003', ' 10004', ' 10005', ' 10006', ' 10007', ' 10009', ' 10010', ' 10012', ' 10013', ' 10016', ' 10017', ' 10022', ' 10038', ' 10280', ' 10282', ' 11205', ' 11206', ' 11211', ' 11213', ' 11216', ' 11221', ' 11222', ' 11225', ' 11233', ' 11237', ' 11238', ' 11379', ' 11385']"
5392.0,7136.0,5878.0,Newtown Creek,18406.0,188137.0,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10012, 10013, 10016, 10017, 10022, 10038, 10280, 10282, 11205, 11206, 11211, 11213, 11216, 11221, 11222, 11225, 11233, 11237, 11238, 11379, 11385","['10002', ' 10003', ' 10004', ' 10005', ' 10006', ' 10007', ' 10009', ' 10010', ' 10012', ' 10013', ' 10016', ' 10017', ' 10022', ' 10038', ' 10280', ' 10282', ' 11205', ' 11206', ' 11211', ' 11213', ' 11216', ' 11221', ' 11222', ' 11225', ' 11233', ' 11237', ' 11238', ' 11379', ' 11385']"
725.0,1425.0,993.0,Jamaica Bay,3143.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
1912.0,2356.0,2519.0,Jamaica Bay,6787.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
2456.0,2972.0,2757.0,Jamaica Bay,8185.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
1669.0,1727.0,1190.0,Jamaica Bay,4586.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
1149.0,933.0,622.0,Bowery Bay,2704.0,122994.0,"10044, 11101, 11102, 11103, 11104, 11105, 11106, 11368, 11369, 11370, 11371, 11372, 11373, 11374, 11375, 11377, 11378, 11415","['10044', ' 11101', ' 11102', ' 11103', ' 11104', ' 11105', ' 11106', ' 11368', ' 11369', ' 11370', ' 11371', ' 11372', ' 11373', ' 11374', ' 11375', ' 11377', ' 11378', ' 11415']"
1590.0,1691.0,1866.0,Jamaica Bay,5147.0,131881.0,"11411, 11412, 11413, 11414, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436","['11411', ' 11412', ' 11413', ' 11414', ' 11416', ' 11417', ' 11418', ' 11419', ' 11420', ' 11421', ' 11422', ' 11423', ' 11426', ' 11428', ' 11429', ' 11430', ' 11432', ' 11433', ' 11434', ' 11435', ' 11436']"
